"Data Science for Business","Foster Provost, Tom Fawcett",2013,"Business"
"OpenIntro Statistics","David M Diez, Christopher D Barr, Mine C¸ etinkaya-Rundel",2015,"Statistics"
"R for Data Science","Garrett Grolemund, Hadley Wickham",2017,"Computer"
